NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.1566458,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.2130047,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.3068057,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.4081577,0.0
0,1.0,2.0,1.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.5097238,0.0
0,1.0,2.0,2.0,0.0,0.7075546,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.6019568,1.0
0,1.0,2.0,2.0,0.0,1.207554,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.7020715,1.0
0,1.0,2.0,2.0,0.0,1.707554,0.3085,0.3085,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.8020304,1.0
0,1.0,2.0,2.0,0.0,2.207553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,0.9023211,1.0
0,1.0,2.0,2.0,0.0,2.707553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,1.002254,1.0
0,1.0,2.0,2.0,0.0,3.407552,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,0.0,2.0,13.0,27.0,7.0,21.0,1.142628,1.0
