NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,21,17,27,0.1141382,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,21,17,27,0.2023654,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,21,17,27,0.302908,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,21,17,27,0.4001479,0
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,27,27,3,27,1,2,19,21,17,27,0.5005778,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,21,17,27,0.6025391,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,21,17,27,0.7014782,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,21,17,27,0.8001501,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,21,17,27,0.9015842,1
0,1,2,2,0,2.907553,0.3085,0.3085,15,3,27,27,3,27,1,2,19,21,17,27,1.003625,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,19,21,17,27,1.100186,3
0,1,2,2,0,3.307552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,19,21,17,27,1.202144,3
0,1,2,2,0,3.307552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,19,21,17,27,1.301911,3
0,1,2,2,0,3.307552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,19,21,17,27,1.401871,3
0,1,2,2,0,3.307552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,19,21,17,27,1.500562,3
0,1,2,2,0,3.707552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,19,21,17,27,1.601892,1
0,1,2,2,0,4.207551,8.008499,0.6085013,15,3,27,27,3,27,1,2,19,21,17,27,1.704161,1
1,1,2,1,19.90756,4.707551,0.008498904,0.6075562,15,3,27,27,3,27,1,2,19,21,17,27,1.802413,1
1,1,2,1,19.40756,5.20755,0.008498904,0.6075562,15,3,27,27,3,27,1,2,19,21,17,27,1.900911,1
1,1,2,1,18.90756,5.707552,0.008498904,0.6075562,15,3,27,27,3,27,1,2,19,21,17,27,2.002402,1
1,1,2,1,18.40756,6.207554,0.008498904,0.6075562,15,3,27.3,27,3,27.3,1,2,19,21,17,27,2.101579,1
1,1,2,1,17.90755,6.707555,0.008498904,0.6075562,15,3,27.3,27,3,27.3,1,2,19,21,17,27,2.202675,1
1,1,2,1,17.40755,7.207558,0.008498904,0.6075562,15,3,27.3,27,3,27.3,1,2,19,21,17,27,2.300671,1
1,1,2,1,16.90755,7.70756,0.008498904,0.6075562,15,3,27.3,27,3,27.3,1,2,19,21,17,27,2.400366,1
0,1,2,2,0,8.207561,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,2.500842,1
0,1,2,2,0,8.707563,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,2.600774,1
0,1,2,2,0,9.207565,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,2.701738,1
0,1,2,2,0,9.707567,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,2.801175,1
0,1,2,1,0,10.20757,0.008498904,8.607556,15,3,27.3,27,3,27.3,0,2,19,21,17,27,2.901871,1
0,1,2,2,0,10.70757,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.001736,1
0,1,2,2,0,11.20757,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.102087,1
0,1,2,2,0,11.70757,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.201467,1
0,1,2,2,0,12.20758,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.302906,1
0,1,2,2,0,12.70758,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.401172,1
0,1,2,2,0,13.20758,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.500787,1
0,1,2,2,0,13.70758,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.600346,1
0,1,1,1,0,14.20758,2.007554,8.607555,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.701363,1
0,1,2,2,0,14.70759,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.800021,1
0,1,2,2,0,15.20759,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,3.90151,1
0,1,2,2,0,15.70759,0.008498904,0.6085013,15,3,27.3,27,3,27.3,0,2,19,21,17,27,4.000433,1
1,1,2,2,8.407519,16.20759,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,4.100746,1
1,1,2,2,7.907516,16.70759,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,4.200058,1
1,1,2,2,7.407516,17.2076,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,4.301101,1
1,1,2,2,6.907513,17.7076,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,4.402398,1
1,1,2,2,6.407511,18.2076,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,4.502974,1
0,1,2,2,0,18.7076,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,4.602509,1
0,1,2,2,0,19.2076,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,4.700275,1
0,1,2,2,0,19.7076,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,4.802516,1
0,0,2,2,0,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,4.903367,1
0,0,2,2,0,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,5.001974,1
1,0,2,2,3.4075,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.102138,1
1,0,2,2,2.907498,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.200091,1
1,0,2,2,2.407496,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.300592,1
1,0,2,2,1.907494,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.402996,1
1,0,2,2,1.407493,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.502286,1
1,0,2,2,0.9074906,0,0.008498904,0.6085013,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.600819,1
1,0,6,6,0.4074887,0,14.65775,7.25775,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.705476,4
1,0,6,6,0.4074887,0,14.65775,7.25775,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.800508,4
1,0,6,6,0.4074887,0,15.15775,6.757748,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,5.900761,4
1,2,6,6,0.4074887,0.2085664,15.35775,6.557748,15,3,27.3,27,2.7,27.3,1,2,19,21,17,27,6.000374,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.102709,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.200355,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.303321,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.402154,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.5007,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.602516,0
1,2,6,6,0.4074887,0.2085664,15.35775,6.557748,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.701908,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.802409,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,6.901134,0
1,2,6,0,0.4074887,0.2085664,15.35775,0,15,3,27.3,27,2.7,27.3,0,2,19,21,17,27,7.003494,0
