NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,23,11,27,0.1126058,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,23,11,27,0.2038912,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,23,11,27,0.3033223,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,23,11,27,0.4017096,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,27,23,11,27,0.5001772,1
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,0.6005875,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,0.7026939,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,0.8006837,1
0,1,2,2,0,2.307553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,0.9031876,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,1.002498,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,1.104167,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,1.203279,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,1.30144,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,23,11,27,1.402083,1
1,1,2,1,19.30756,5.30755,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,23,11,27,1.503602,1
1,1,2,1,18.80756,5.807552,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,23,11,27,1.603226,1
1,1,2,1,18.30756,6.307554,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,23,11,27,1.702077,1
1,1,2,1,17.80755,6.807556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,23,11,27,1.802451,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,23,11,27,1.900614,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,3,27,27,27,1,2,27,23,11,27,2.003946,1
1,1,2,2,16.30755,8.307562,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.102983,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.200126,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.300979,1
1,1,2,2,14.80754,9.807568,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.403166,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,3,27,27,27,1,2,27,23,11,27,2.500809,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.600525,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.700753,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.800939,1
1,1,2,2,12.30753,12.30758,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,2.90105,1
1,1,2,2,11.80753,12.80758,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,3.001214,1
1,1,2,2,11.30753,13.30758,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,3.101604,1
1,1,2,2,10.80753,13.80758,0.3085001,0.3085001,15,3,3,27,27,27,1,2,27,23,11,27,3.203536,1
1,1,2,2,10.70753,13.90758,0.4085005,0.2084997,15,3,3,27,27,27,1,2,27,23,11,27,3.300951,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,27,27,27,1,2,27,23,11,27,3.403005,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,27,27,27,1,2,27,23,11,27,3.500505,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,27,27,27,1,2,27,23,11,27,3.602399,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,27,27,27,1,2,27,23,11,27,3.701182,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,27,27,27,1,2,27,23,11,27,3.801991,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,27,27,27,1,2,27,23,11,27,3.900869,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,27,27,27,1,2,27,23,11,27,4.001762,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,26.5,26.5,27,1,2,27,23,11,27,4.10067,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,26,26,27,1,2,27,23,11,27,4.202597,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,25.49999,25.49999,27,1,2,27,23,11,27,4.303492,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,24.99999,24.99999,27,1,2,27,23,11,27,4.402337,4
1,1,2,2,10.70753,13.90758,0.6085013,0.008498904,15,3,3,24.49999,24.49999,27,1,2,27,23,11,27,4.501734,4
1,1,1,1,10.40753,14.20758,2.607556,8.007554,15,3,3,23.99999,23.99999,27,1,2,27,23,11,27,4.602154,1
2,2,1,1,0.2084711,0.4085291,2.807557,7.807552,15,3,3,23.49999,23.49999,27,1,2,27,23,11,27,4.700415,4
2,2,1,1,0.2084711,0.4085291,3.307559,7.307551,15,3,3,22.99998,22.99998,27,1,2,27,23,11,27,4.802975,4
2,2,1,1,0.2084711,0.4085291,3.80756,6.807549,15,3,3,22.49998,22.49998,27,1,2,27,23,11,27,4.901751,4
2,2,1,1,0.2084711,0.4085291,4.307562,6.307547,15,3,3,21.99998,21.99998,27,1,2,27,23,11,27,5.001102,4
2,2,1,1,0.2084711,0.4085291,4.807564,5.807545,15,3,3,21.49998,21.49998,27,1,2,27,23,11,27,5.103205,4
2,2,1,5,0.2084711,0.4085291,5.307566,3.799364,15,3,3,20.99998,20.99998,27,1,2,27,23,11,27,5.201726,4
2,2,1,5,0.2084711,0.4085291,5.807565,3.299365,15,3,3,20.49998,20.49998,27,1,2,27,23,11,27,5.300153,4
1,2,1,1,10.20753,0.4085291,6.307564,4.307545,15,3,3,19.99997,19.99997,27,1,2,27,23,11,27,5.40397,4
2,2,1,1,0.2084711,0.4085291,6.807565,3.807546,15,3,3,19.49997,19.49997,27,1,2,27,23,11,27,5.500218,4
2,2,1,1,0.2084711,0.4085291,7.307564,3.307546,15,3,3,18.99997,18.99997,27,1,2,27,23,11,27,5.601604,4
2,2,1,0,0.2084711,0.4085291,7.807564,0,15,3,3,18.49997,18.49997,27,0,2,27,23,11,27,5.702838,4
2,2,1,6,0.2084711,4.408528,8.207563,0.7577419,15,3,3,17.99997,17.99997,27,1,2,27,23,11,27,5.80126,0
2,2,1,6,0.2084711,4.408528,8.207563,0.7577419,15,3,3,17.49996,17.49996,27,1,2,27,23,11,27,5.900012,0
2,2,1,6,0.2084711,4.408528,8.207563,0.7577419,15,3,3,16.99996,16.99996,27,1,2,27,23,11,27,6.001197,0
2,2,1,1,0.2084711,4.408528,8.207563,2.407547,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.101338,0
2,2,1,1,0.2084711,4.408529,8.407563,2.207547,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.2026,4
2,1,1,1,0.2084711,1.408529,8.907563,1.707548,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.303337,4
2,1,1,1,0.2084711,1.408529,9.407562,1.207548,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.402111,4
2,1,1,1,0.2084711,1.408529,9.907561,0.7075485,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.500302,4
1,1,1,1,10.20753,1.408529,10.30756,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.60297,4
1,1,1,1,10.20753,1.408529,10.30756,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.70065,4
1,1,1,1,10.00753,1.60853,10.30756,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.803627,1
1,1,2,1,9.507524,2.108532,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,6.903106,1
1,1,2,1,9.007522,2.608534,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.001821,1
1,1,2,1,8.50752,3.108535,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.100091,1
1,1,2,1,8.007518,3.608537,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.200258,1
1,1,2,1,7.507515,4.108539,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.301831,1
1,1,2,1,7.007514,4.608541,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.402354,1
1,1,2,1,6.507512,5.108543,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.502733,1
1,1,2,1,6.00751,5.608545,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.603341,1
1,1,2,1,5.507508,6.108547,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.704144,1
1,1,2,1,5.007506,6.608549,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.801665,1
1,1,2,1,4.507504,7.108551,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,7.900057,1
1,1,2,1,4.207503,7.408552,0.3085063,0.3075489,15,3,100,100,16.99996,27,1,2,27,23,11,27,8.000154,0
1,1,2,1,4.207503,7.408552,0.3085063,0.3075489,15,3,100,100,17.49996,27,1,2,27,23,11,27,8.102254,0
1,1,2,1,4.207503,7.408552,0.3085063,0.3075489,15,3,100,100,17.99997,27,1,2,27,23,11,27,8.201336,0
1,1,2,1,4.207503,7.408552,0.3085063,0.3075489,15,3,100,100,18.49997,27,1,2,27,23,11,27,8.302348,0
1,1,2,1,4.207503,7.408552,0.3085063,0.3075489,15,3,100,100,18.99997,27,1,2,27,23,11,27,8.401997,0
5,1,2,1,2.708448,7.408552,0.3085063,0.3075489,15,3,100,100,19.49997,27,1,2,27,23,11,27,8.500888,0
5,1,2,1,2.708448,7.408552,0.3085063,0.3075489,15,3,100,100,19.99997,27,1,2,27,23,11,27,8.603628,0
1,1,2,1,3.907502,7.708553,0.3085063,0.3075489,15,3,100,100,20.49998,27,1,2,27,23,11,27,8.701186,1
1,1,2,1,3.4075,8.208554,0.3085063,0.3075489,15,3,100,100,20.99998,27,1,2,27,23,11,27,8.802341,1
1,1,2,1,2.907498,8.708557,0.3085063,0.3075489,15,3,100,100,21.49998,27,1,2,27,23,11,27,8.903182,1
